state,city,avg_rating,rating_variance,avg_price,n_restaurants,avg_review_count
AK,Anchorage,4.1865,0.16036959798994976,2.006849315068493,200,245.125
AK,Bethel,2.2842105263157895,3.0269590643274844,2.0,19,4.0
AK,Fairbanks,3.6075,1.4478329145728637,1.8487394957983194,200,75.025
AK,Juneau,3.128695652173913,2.523993897787949,1.859375,115,74.91304347826087
AK,Kenai,2.851960784313725,3.537966414288488,1.608695652173913,102,29.88235294117647
AK,Ketchikan,3.3682539682539683,2.6412339989759372,2.0,63,57.142857142857146
AK,Kodiak,3.395652173913043,2.722252964426877,1.5,23,24.565217391304348
AK,Palmer,3.302941176470588,2.635215100965758,1.6923076923076923,68,34.48529411764706
AK,Sitka,3.6027777777777774,2.605992063492061,2.0,36,30.25
AK,Wasilla,3.2625,2.394013819095476,1.7096774193548387,200,38.73
AL,Auburn,3.772,0.7118753768844228,1.4951456310679612,200,60.81
AL,Birmingham,4.2575,0.09562185929648238,2.1132075471698113,200,245.14
AL,Decatur,3.2960000000000003,1.3069185929648246,1.4051724137931034,200,30.105
AL,Dothan,3.616,0.8866773869346742,1.5338983050847457,200,38.61
AL,Hoover,4.1095,0.2587535175879398,1.9679487179487178,200,193.78
AL,Huntsville,4.1265,0.19060075376884422,1.9366197183098592,200,130.055
AL,Madison,4.073,0.18750854271356815,1.946969696969697,200,116.19
AL,Mobile,4.123,0.21303618090452278,1.835820895522388,200,114.36
AL,Montgomery,4.0495,0.31778869346733635,1.7121212121212122,200,89.32
AL,Tuscaloosa,3.8364999999999996,0.4451434673366837,1.639344262295082,200,74.54
AR,Bentonville,4.038,0.26055879396984905,1.8389830508474576,200,133.8
AR,Conway,3.263,1.5179206030150745,1.3529411764705883,200,37.05
AR,Fayetteville,4.0635,0.2729826633165825,1.7388059701492538,200,110.97
AR,Fort Smith,3.9575,0.47793341708542714,1.5701754385964912,200,49.985
AR,Hot Springs,3.8964999999999996,0.5376258793969849,1.682170542635659,200,104.475
AR,Jonesboro,3.3394999999999997,1.528532412060302,1.4880952380952381,200,23.985
AR,Little Rock,4.064,0.20291859296482412,1.9189189189189189,200,153.64
AR,North Little Rock,4.0969999999999995,0.21386030150753782,1.8368794326241136,200,138.855
AR,Rogers,4.118,0.23384522613065356,1.9166666666666667,200,144.0
AR,Springdale,4.1925,0.2345665829145728,1.7863247863247864,200,108.265
AZ,Chandler,4.211,0.12088341708542734,2.0755813953488373,200,590.705
AZ,Gilbert,4.197,0.16883517587939714,1.961290322580645,200,507.17
AZ,Glendale,4.2155000000000005,0.16242185929648237,1.8918918918918919,200,396.775
AZ,Mesa,4.2935,0.10704296482412048,1.9741935483870967,200,441.105
AZ,Peoria,4.1175,0.24245603015075354,1.8724832214765101,200,309.3
AZ,Phoenix,4.345,0.12158291457286438,1.8866666666666667,200,434.545
AZ,Scottsdale,4.216,0.12195376884422116,2.2038216560509554,200,578.64
AZ,Tempe,4.2715,0.11993743718592957,2.049382716049383,200,616.575
AZ,Tucson,4.2725,0.08863693467336675,2.022598870056497,200,464.48
AZ,Yuma,3.83,0.5526633165829136,1.5813953488372092,200,98.425
CA,Anaheim,4.333,0.09026231155778885,2.0833333333333335,200,1551.295
CA,Bakersfield,4.18,0.1678391959798996,1.981818181818182,200,355.095
CA,Fresno,4.275,0.14047738693467343,2.026143790849673,200,446.755
CA,Long Beach,4.3625,0.08828517587939685,2.0930232558139537,200,1047.06
CA,Los Angeles,4.377,0.05926733668341707,2.4023668639053253,200,1784.515
CA,Oakland,4.3285,0.0811434673366834,2.1502890173410405,200,757.86
CA,Sacramento,4.3,0.07778894472361822,2.151685393258427,200,823.55
CA,San Diego,4.3505,0.07648216080402004,2.3351351351351353,200,1922.365
CA,San Francisco,4.316,0.05532060301507538,2.3777777777777778,200,1765.3
CA,San Jose,4.2219999999999995,0.09931256281407012,2.1968085106382977,200,1319.095
CO,Arvada,4.263999999999999,0.1264361809045228,1.967741935483871,200,438.45
CO,Aurora,4.3345,0.14659271356783948,1.9538461538461538,200,288.24
CO,Colorado Springs,4.265,0.1204773869346733,2.052980132450331,200,330.32
CO,Denver,4.349,0.058491457286431944,2.2229299363057327,200,759.555
CO,Fort Collins,4.168,0.18188542713567796,1.8986486486486487,200,208.165
CO,Greeley,3.8280000000000003,0.6359959798994975,1.5043478260869565,200,45.445
